"UTC","TF","PF","T200","T3300","T3700","T4000","u800","u2700","u3000","u3300","u3700","u4200","DD200","DD3300","DD3700","DD4000","Rn","Rg200","Rg3700","Pa"
2008-11-16 19:09:00,0,0,7.558000088,7.287000179,NA,7.170000076,1.30430007,1.247660396,1.836468886,1.867631452,2.086753457,5.277472262,7.963390482,7.842538946,NA,7.704955683,-16.72683716,0,0,973.8285677
2008-11-16 19:19:00,0,0.108061325688208,7.425000191,6.986999989,NA,6.992000103,0.946669996,1.722971519,2.363608337,2.839247507,2.705084379,5.628461167,8.22199257,8.17867621,NA,7.972447978,-3.971130371,0,0,974.1992856
2008-11-16 19:29:00,0.142710894,0.648367973580283,6.298999786,5.769000053,NA,5.813000202,1.590499997,1.816459218,2.493835102,2.822846157,2.564688857,6.753593825,8.400805193,8.337107385,NA,8.122874174,-1.323699951,0,0,974.3232221
2008-11-16 19:39:00,0.071355447,0.216122652457028,5.743000031,5.387000084,NA,5.324999809,1.236999989,1.697385452,2.50170763,2.572889532,2.491538873,7.048818138,8.413832166,8.315608701,NA,8.199576221,-3.369445801,0,0,974.4981492
2008-11-16 19:49:00,0.050968595,0.216122652457028,5.519999981,5.203999996,NA,5.137000084,1.226999998,1.775127794,2.44463105,2.504331806,2.447255226,6.455089243,8.383873553,8.298653314,NA,8.189599571,-2.527069092,0,0,974.489413
2008-11-16 19:59:00,0.020387826,0,5.407999992,5.135000229,NA,5.061999798,1.121199965,1.684264371,2.399691309,2.707052661,2.368200595,6.491172214,8.300879258,8.206047842,NA,8.111853014,-3.971099854,0,0,974.4876947
2008-11-16 20:09:00,0.010193913,0,5.397999763,5.142000198,NA,5.053999901,1.246199965,1.406097403,2.166136035,2.524997668,2.25011087,5.897443319,8.277187996,8.210055447,NA,8.12481636,-4.813476563,0,0,974.4921018
2008-11-16 20:19:00,0,0,5.427000046,5.196000099,NA,5.099999905,1.228800058,1.665894838,2.310795868,2.626029948,2.33802227,6.687988423,8.284933758,8.205697989,NA,8.133392361,-6.016845703,0,0,974.6803879
2008-11-16 20:29:00,0,0,5.443999767,5.224999905,NA,5.140999794,1.33220005,1.845981649,2.668345313,3.039343986,2.798900225,6.87168355,8.267779289,8.15149746,NA,8.086296589,-9.265960693,0,0,974.8624775
2008-11-16 20:39:00,0,0,5.282999992,5.024000168,NA,4.986000061,1.873800039,2.326869272,3.312590449,3.850554752,3.499565847,8.725036179,7.704636258,7.523078476,NA,7.442212516,-46.81109619,0,0,975.0380699
