"UTC","TF","PF","T200","T3300","T3700","T4000","u800","u2700","u3000","u3300","u3700","u4200","DD200","DD3300","DD3700","DD4000","Rn","Rg200","Rg3700","Pa"
2010-10-20 15:19:00,0.010193913,0,6.512000084,6.278999805,NA,6.125,0.915830016,0.980318379,1.381823424,1.496960926,1.740357011,3.81775205,7.993009976,7.827384905,NA,8.206135845,41.51623535,4.657933235,70.87845612,959.0009155
2010-10-20 15:29:00,0.020386854,0.442617799489599,5.518000126,4.821000099,NA,4.960000038,1.820299983,1.559614106,2.113651712,2.516796993,2.586994654,6.87168355,7.660060522,7.434328892,NA,7.758874674,11.0710144,0,11.79302025,959.3783971
2010-10-20 15:39:00,0.10193719,0.553272241062915,4.244999886,3.65199995,NA,3.665999889,0.988669991,1.350332861,1.936189078,2.339990352,1.922083956,4.903521466,7.412839669,7.276018684,NA,7.56883114,22.62335205,0,23.82671547,959.6791939
2010-10-20 15:49:00,0.081549361,0.221308899744799,4.024000168,3.552000046,NA,3.480999947,0.769829988,1.03181861,1.496960926,1.537964303,1.672455379,4.070332851,7.453104969,7.334981684,NA,7.611487816,14.80145264,0,16.00481415,959.6821728
2010-10-20 15:59:00,0.081549361,0.221308899744799,3.994999886,3.601999998,NA,3.512000084,1.13349998,1.263405702,1.638668636,1.840733197,2.211403723,4.99536903,7.494743049,7.400431317,NA,7.683124987,18.53186035,0,22.98435593,959.8640117
2010-10-20 16:09:00,0.040774681,0.110654449319127,4.027999878,3.686000109,NA,3.578999996,0.822170019,0.911760728,1.495320791,1.71181862,2.030660918,4.401640135,7.536592606,7.444460949,NA,7.727478565,24.30807495,0,37.78580093,960.048904
2010-10-20 16:19:00,0.020387826,0,4.058000088,3.736000061,NA,3.625999928,0.698170006,0.952108061,1.372966705,1.659006251,1.731500241,4.358996623,7.560679461,7.462805581,NA,7.745266767,15.52349854,0,40.07220078,960.0533705
2010-10-20 16:29:00,0.010192941,0,4.078000069,3.855000019,NA,3.714999914,0.782000005,0.916353111,1.294896266,1.60094553,1.798417732,3.853835022,7.571327967,7.493543875,NA,7.77020499,30.92657471,1.310043693,62.09386444,960.0544869
2010-10-20 16:39:00,0.010193913,0,4.085000038,3.832999945,NA,3.734999895,0.803330004,0.874365644,1.494992744,1.881736574,1.844013467,3.709503136,7.575058068,7.449818846,NA,7.749289716,13.11672974,0.873362422,45.72803879,960.2352852
2010-10-20 16:49:00,0,0,4.058000088,3.788000107,NA,3.709000111,0.80133003,0.97146166,1.57896768,1.972600096,2.153014954,4.221225277,7.552523388,7.42621466,NA,7.735083592,-2.16607666,0.145560414,31.16726875,960.4118387
