"UTC","TF","PF","T200","T3300","T3700","T4000","u800","u2700","u3000","u3300","u3700","u4200","DD200","DD3300","DD3700","DD4000","Rn","Rg200","Rg3700","Pa"
2009-04-22 16:39:00,0,0,11.76000023,11.18000031,NA,10.98999977,0.636500001,1.164669551,1.661630527,2.054278803,2.292098488,3.942402315,8.56712416,8.374266193,NA,8.240371742,17.80984497,3.056768656,44.64500427,970.7681688
2009-04-22 16:49:00,0.23445417,0.32741757735919,10.43000031,9.470000267,NA,9.489999771,1.111199975,1.995890034,2.839575454,3.529088278,3.519247467,5.894163049,9.646609897,9.39435121,NA,9.13200444,80.62576294,1.455604076,89.04933929,971.083011
2009-04-22 16:59:00,0.10193719,0.763974303515769,8.869999886,8.25,NA,8.199999809,0.632830024,1.513690324,2.219604398,2.812349252,2.626686042,5.146261457,10.08331548,9.744405662,NA,9.657013598,62.4548645,1.455604076,68.95307159,971.1288392
2009-04-22 17:09:00,0.010193913,0,8.720000267,8.399999619,NA,8.350000381,0.618170023,1.215185741,1.776439982,2.043125904,2.176304892,4.358996623,10.24026912,9.976373284,NA,9.986445451,32.97229004,1.018922806,38.62815857,971.2679793
2009-04-22 17:19:00,0,0,8.800000191,8.449999809,NA,8.359999657,0.492000014,1.376575022,1.983752995,2.437414415,2.62471776,4.447563917,10.32983288,10.04344549,NA,10.07010307,47.05172729,4.657933235,56.07701492,971.0888564
2009-04-22 17:29:00,0.010193913,0,8.630000114,8.18999958,NA,8.090000153,0.786170006,1.731172194,2.423309294,2.950448545,3.001948826,5.369319826,10.07734975,9.693868357,NA,9.746720963,7.340545654,0,15.04211807,971.2585025
2009-04-22 17:39:00,0,0,8.350000381,7.916999817,NA,7.801000118,0.736330032,1.694433229,2.437086268,3.126927239,3.493005306,5.467727931,9.887678408,9.579238515,NA,9.641171784,31.16726685,3.20232892,45.00601578,971.4222873
2009-04-22 17:49:00,0,0,8.180000305,7.751999855,NA,7.627999783,0.638670027,1.752821997,2.635214665,3.299469368,3.81775205,5.730149542,9.719819975,9.472010067,NA,9.517490784,68.35140991,9.898107529,98.31528473,971.4208259
2009-04-22 17:59:00,0,0,8.100000381,7.612999916,NA,7.455999851,0.484329998,1.59208876,2.09856245,2.599787787,3.250265316,4.778871201,9.742569596,9.507738929,NA,9.592048633,69.91577148,10.04366779,97.8339386,971.4098583
2009-04-22 18:09:00,0,0,8.039999962,7.499000072,NA,7.330999851,0.384829998,1.075118166,1.592416807,1.910931058,2.107091172,3.712783406,9.778062586,9.537467454,NA,9.622911258,20.21661377,1.746724844,26.35379028,971.7629418
2009-04-22 18:19:00,0,0,7.875,7.34499979,NA,7.206999779,0.741999984,1.518282682,2.196642507,2.681794541,2.878282602,4.650940666,9.721842543,9.509180691,NA,9.602376105,3.730438232,0,13.47773743,971.753415
2009-04-22 18:29:00,0,0,7.803999901,7.284999847,NA,7.15199995,0.368330002,1.138099393,1.71181862,2.031644959,2.40723589,3.58485287,9.685440278,9.490579941,NA,9.556107473,11.07098389,2.183406115,33.81468201,971.9281104
2009-04-22 18:39:00,0,0,7.823999882,7.302999973,NA,7.169000149,0.260170013,1.170902094,1.62948382,2.027380648,2.415436565,3.611095031,9.698667102,9.440988366,NA,9.50651395,11.67272949,0.873362422,19.49458504,971.9207701
2009-04-22 18:49:00,0,0,7.769999981,7.222000122,NA,7.109000206,0.377169997,1.524515175,2.084785375,2.616517085,3.187940183,4.496767969,9.5258526,9.266785524,NA,9.31622085,-3.12878418,0,3.610108376,971.9193015
2009-04-22 18:59:00,0,0,7.583000183,7.03399992,NA,6.929999828,0.359670013,1.455301455,2.056903079,2.695571715,3.039343986,4.099855282,9.279957293,9.027639571,NA,9.072919913,-13.5980835,0,7.701564312,972.0917778
2009-04-22 19:09:00,0,0,7.415999889,6.879000187,NA,6.781000137,0.368670017,1.176150497,1.728876065,2.184177521,2.670641542,3.784949349,9.20543128,8.922072778,NA,8.950850269,-10.2286377,0,0,972.0807448
2009-04-22 19:19:00,0,0,7.357999802,6.81099987,NA,6.705999851,0.306329995,0.970149547,1.309657481,1.653757799,1.852214142,2.649319786,9.138176281,8.91007671,NA,8.963601077,-27.79785156,0,0,972.2568817
2009-04-22 19:29:00,0,0,7.201000214,6.610000134,NA,6.539999962,0.432999998,0.763000482,1.047891964,1.187303445,1.433979699,2.583714383,9.040377917,8.836325102,NA,8.890745853,-76.77496338,0,0,972.2436177
2009-04-22 19:39:00,0,0,6.859000206,6.394999981,NA,6.335000038,0.562830031,0.763328504,1.241755899,1.491384427,1.613082469,3.643897733,8.88007831,8.735055381,NA,8.784974541,-83.15283203,0,0,972.2059444
2009-04-22 19:49:00,0,0,6.558000088,6.19299984,NA,6.152999878,0.697170019,0.656982152,1.006888587,1.060028954,1.973912185,3.81775205,8.814418701,8.718119323,NA,8.760113741,-85.07821655,0,0,972.1670211
2009-04-22 19:59:00,0,0,6.397999763,6.065000057,NA,6.015999794,0.671169996,0.79836179,1.27357451,1.220106146,1.735436605,4.021128799,8.727263609,8.584961873,NA,8.593289783,-85.43922424,0,0,972.1407683
2009-04-22 20:09:00,0,0,6.28000021,5.984000206,NA,5.941999912,0.655170023,0.75145393,1.142363704,1.23289918,1.925364226,3.834153401,8.523106539,8.369006271,NA,8.381902046,-85.55957031,0,0,972.1191517
2009-04-22 20:19:00,0.010191969,0,6.046000004,5.80700016,NA,5.796000004,0.796829998,0.678861548,1.102344418,1.088567294,1.777424023,3.794790159,8.442495671,8.322251145,NA,8.343530662,-84.95788574,0,0,972.1006304
2009-04-22 20:29:00,0,0,5.839000225,5.706999779,NA,5.690000057,0.668830037,0.698641586,1.092503608,1.180742905,1.73937287,3.719343946,8.331505839,8.218935745,NA,8.209240691,-84.59689331,0,0,972.084697
2009-04-22 20:39:00,0,0,5.638000011,5.578000069,NA,5.546999931,0.747669995,0.734724557,1.278494915,1.379855292,1.955542652,3.952243126,8.216082734,8.109335601,NA,8.100932415,-83.75453186,0,0,971.883886
2009-04-22 20:49:00,0,0,5.40199995,5.438000202,NA,5.420000076,0.702499986,0.612928123,1.008856719,1.146956112,1.479247487,3.273227207,8.091322402,8.0397544,NA,8.03866261,-80.62576294,0,0,971.6829709
2009-04-22 20:59:00,0,0,5.019000053,5.458000183,NA,5.498000145,0.83683002,0.743154851,1.256189118,1.156468876,2.059527255,4.004727448,7.965398288,7.996976275,NA,7.992194961,-79.54272461,0,0,971.6707204
