"UTC","TF","PF","T200","T3300","T3700","T4000","u800","u2700","u3000","u3300","u3700","u4200","DD200","DD3300","DD3700","DD4000","Rn","Rg200","Rg3700","Pa"
2009-05-20 23:49:00,0,0,16.62999916,16.56999969,NA,16.48999977,1.185500026,1.308017346,1.933564902,2.314732232,2.292754382,5.910564399,12.27288628,11.98501539,NA,11.91854099,-17.20819092,0,0,973.5957313
2009-05-20 23:59:00,0.030580768,0.230589206550227,16.10000038,15.56000042,NA,15.56000042,0.919830024,1.030506522,1.655725981,1.814491036,1.972272049,5.251230101,13.35176246,13.1350103,NA,12.9672241,-4.091461182,0,0,973.9627142
2009-05-21 00:09:00,0.10193719,0.461178413100453,14.63000011,14.09000015,NA,14.14000034,0.578999996,1.152532562,1.647525306,1.992281717,1.942749618,4.431162566,14.29004503,13.97587966,NA,13.8278778,0.481323242,0,0,973.9436097
2009-05-21 00:19:00,0.152904809,0.461178413100453,14.10000038,13.77000046,NA,13.82999992,0.503670037,0.711270621,0.840906898,0.942595273,0.983270602,1.373622749,14.5475612,14.06600349,NA,14.2315516,1.203369141,0,0,973.2046843
2009-05-21 00:29:00,0.020387826,0.11529460269864,13.84000015,13.47000027,NA,13.47000027,0.573500037,0.635660397,1.044611694,1.309001437,1.601601524,1.91289914,14.63594421,14.21050042,NA,14.45737122,-0.96270752,0,0,972.6584643
2009-05-21 00:39:00,0.010193913,0,13.71000004,13.46000004,NA,13.65999985,0.313670009,0.688210326,1.163029416,1.469406677,1.737732734,2.593227247,14.65378258,14.27833597,NA,14.35623197,-2.888092041,0,0,972.6591727
2009-05-21 00:49:00,0,0,13.47000027,13.31999969,NA,13.43000031,0.560670018,0.668036659,1.25159671,1.770207389,2.586010613,2.995716433,14.45737122,14.16381111,NA,14.35815783,-2.76776123,0,0,972.4707234
2009-05-21 00:59:00,0.010192941,0,13.32999992,13.07999992,NA,13.13000011,0.327670008,0.585373856,0.86485288,1.150892426,1.601601524,2.084785375,14.41768502,14.12395844,NA,14.44183937,-3.24911499,0,0,972.2773073
2009-05-21 01:09:00,0,0,13.22000027,13.03999996,NA,13.18000031,0.128670007,0.557327545,0.629591896,0.896343469,1.212233468,1.608490111,14.34486525,14.16206677,NA,14.45882864,-1.08303833,0,0,972.0916897
2009-05-21 01:19:00,0,0,13.14000034,13.03999996,NA,13.15999985,0.335999995,0.63375784,0.914056932,1.123666174,1.489088298,2.012291385,14.28517574,14.19207114,NA,14.45506446,0.120330811,0,0,972.0881413
2009-05-21 01:29:00,0.010193913,0,13.02999973,13.07999992,NA,13.05000019,0.791000009,0.770151472,1.257829253,1.691480905,2.076912647,2.809396929,14.21277481,14.25933184,NA,14.48658568,1.08303833,0,0,972.4508607
2009-05-21 01:39:00,0,0,13.18000031,13.02000046,NA,12.93000031,0.771329999,1.115465499,1.708866397,2.233053526,2.657520462,4.149059334,14.44368851,14.24842715,NA,14.43284704,0.48135376,0,0,973.0169408
2009-05-21 01:49:00,0,0,13.14999962,12.88000011,NA,12.78999996,0.525000036,0.704283642,1.238803676,1.687216594,2.308827786,2.893371965,14.40028899,14.10359512,NA,14.2863255,-3.128753662,0,0,972.6605893
2009-05-21 01:59:00,0,0,13.01000023,12.71000004,NA,12.64000034,0.483999997,0.793441385,1.371654617,1.703945992,2.160887582,2.806444806,14.26905325,13.96200115,NA,14.20492494,-5.415161133,0,0,972.2865254
2009-05-21 02:09:00,0,0,12.89999962,12.67000008,NA,12.63000011,0.202330008,0.670103233,1.068557626,1.420530672,1.710834579,2.36656046,14.16667718,13.95469955,NA,14.21021022,-6.257507324,0,0,972.0853016
2009-05-21 02:19:00,0,0,12.84000015,12.71000004,NA,12.73999977,0.293000013,0.774711046,1.22076219,1.479575534,1.942749618,2.695571715,14.11110793,13.97668254,NA,14.21015161,-5.776153564,0,0,971.8854692
2009-05-21 02:29:00,0,0,12.72000027,12.65999985,NA,12.71000004,0.368499994,1.000656044,1.439884246,1.681968142,2.132677239,2.710004784,13.9858522,13.91628003,NA,14.15285921,-7.581237793,0,0,971.8783552
2009-05-21 02:39:00,0,0,12.64000034,12.86999989,NA,12.97999954,0.399670005,1.003608317,1.618002874,1.888625161,2.350487257,2.980955218,13.91264254,13.93116223,NA,14.03186058,-9.747283936,0,0,971.687747
2009-05-21 02:49:00,0,0,12.56999969,12.97999954,NA,13.09000015,0.460330009,1.269310199,1.979160637,2.344254663,2.850728453,3.361794501,13.84886032,13.62838855,NA,13.78701679,-16.9675293,0,0,971.492144
2009-05-21 02:59:00,0.010193913,0,12.47000027,13.02000046,NA,13.09000015,0.49267,1.314249889,2.057559073,2.437414415,2.765769376,3.502846117,13.75818827,13.46933334,NA,13.68165749,-30.08422852,0,0,971.4743034
2009-05-21 03:09:00,0,0,12.39999962,12.85000038,NA,12.88000011,0.490330011,1.16040519,1.859758824,2.352127392,2.548615453,3.56845152,13.6950284,13.52768643,NA,13.76213966,-42.47894287,0,0,971.2893855
2009-05-21 03:19:00,0,0,12.40999985,12.93000031,NA,13.06999969,0.481169999,1.312937751,2.143174144,2.660472785,2.899932505,4.05721177,13.70403562,13.59875061,NA,13.79906007,-49.81948853,0,0,971.0994651
2009-05-21 03:29:00,0,0,12.40999985,12.93000031,NA,13.02000046,0.476999998,1.361157762,2.184505568,2.748056038,2.824158145,3.912879884,13.70403562,13.61364519,NA,13.81393252,-49.81948853,0,0,971.0915991
2009-05-21 03:39:00,0,0,12.43999958,12.97000027,NA,12.98999977,0.560500026,1.446772833,2.226492985,2.765769376,2.961929491,4.04409069,13.7310885,13.7090736,NA,13.92142105,-54.99398804,0,0,970.9016697
2009-05-21 03:49:00,0,0,12.44999981,13,NA,13,0.445329994,0.898311626,1.460549908,2.046078128,2.264216192,3.292908828,13.74011655,13.73601529,NA,13.96045999,-45.12637329,0,0,971.0765653
2009-05-21 03:59:00,0,0,12.43000031,12.97000027,NA,13.07999992,0.403170019,0.768839359,1.323106609,1.741341052,1.994905893,3.09707666,13.72206567,13.76880812,NA,14.00362653,-40.79421997,0,0,971.2564723
2009-05-21 04:09:00,0,0,12.39999962,13.22000027,NA,13.38000011,0.416830003,0.83139411,1.11644959,1.388712012,1.707882256,2.165479941,13.70941394,13.84393345,NA,14.00462615,-47.53311157,0,0,971.4435448
2009-05-21 04:19:00,0,0,12.39999962,12.81999969,NA,12.88000011,0.367000014,1.0219778,1.386743829,1.857790642,2.33802227,2.722797918,13.738185,13.60463507,NA,13.91059855,-42.47894287,0,0,971.4507062
2009-05-21 04:29:00,0,0,12.47999954,13.02999973,NA,13.38000011,0.141499996,0.622703327,0.888470815,1.19550412,1.535996121,1.990313535,13.82507747,13.85295772,NA,13.94326963,-32.73162842,0,6.618531704,971.4492743
