"UTC","TF","PF","T200","T3300","T3700","T4000","u800","u2700","u3000","u3300","u3700","u4200","DD200","DD3300","DD3700","DD4000","Rn","Rg200","Rg3700","Pa"
2010-07-05 21:59:00,0,0,19.13999939,18.62999916,NA,NA,0.460999995,0.933082484,1.332291375,1.529435581,1.35590931,3.381476122,18.69264341,18.47125715,NA,NA,-10.70999146,0,0,971.8312099
2010-07-05 22:09:00,0.040774681,0.207100054538067,18.73999977,18.21999931,NA,NA,0.616330028,1.023945982,1.432339564,1.567486734,1.744949369,4.070332851,18.85802572,18.58800457,NA,NA,-5.415161133,0,0,971.82308
2010-07-05 22:19:00,0.193679497,0.517750128578915,18.40999985,17.89999962,NA,NA,0.497669995,1.059044863,1.398880869,1.661958474,1.557973971,3.745586107,18.95903557,18.6071515,NA,NA,-3.73046875,0,0,971.9746542
2010-07-05 22:29:00,0.183486551,0.517750128578915,18.11000061,17.67000008,NA,NA,0.466670007,0.930458283,1.163029416,1.24831644,1.377231066,3.246985046,18.87530733,18.50104563,NA,NA,-2.04574585,0,0,971.9419652
2010-07-05 22:39:00,0.244648084,0.517750128578915,17.92000008,17.52000046,NA,NA,0.51850003,0.903888075,1.153516653,1.194848026,1.384775697,3.466763145,18.85629044,18.48682623,NA,NA,-1.444030762,0,0,972.102227
2010-07-05 22:49:00,0.407747775,0.621300179146704,17.77000046,17.38999939,NA,NA,0.499170005,0.887814771,1.161061284,1.284071414,1.533371945,3.407718283,18.80096417,18.43485925,NA,NA,-0.842346191,0,0,972.0851202
2010-07-05 22:59:00,0.13251698,0.310650089573352,17.63999939,17.26000023,NA,NA,0.507000029,1.228634819,1.624891462,1.976536461,2.056903079,3.525808008,18.70798794,18.32330765,NA,NA,-0.48135376,0,0,972.066612
2010-07-05 23:09:00,0.275229812,0.207100054538067,17.51000023,17.09000015,NA,NA,0.344000012,1.313265798,1.845653602,2.402643432,2.750680214,4.217945007,18.57513172,18.16611137,NA,NA,-0.360992432,0,0,972.056315
2010-07-05 23:19:00,0.193679497,0.310650089573352,17.29999924,16.84000015,NA,NA,0.56366998,1.285055455,1.586840308,1.975224273,2.421669159,3.791509889,18.3302645,17.91873087,NA,NA,0.120330811,0,0,972.0411937
2010-07-05 23:29:00,0.591233373,0.724850167584478,16.87000084,16.31999969,NA,NA,0.718500018,1.258485297,1.705914174,2.233381573,2.426917511,4.224505548,17.79927235,17.33578817,NA,NA,0.60168457,0,0,972.1909158
2010-07-05 23:39:00,1.518859029,1.24260035829341,16.53000069,16.04999924,NA,NA,0.418669999,1.181398949,1.588152396,1.975880367,1.911259005,3.830873131,17.47522287,17.07616156,NA,NA,-0.722015381,0,0,972.3522909
2010-07-05 23:49:00,2.629969358,3.10650077147349,16.37999916,15.93999958,NA,NA,0.488330007,1.428731347,1.859430777,2.421669159,2.898948464,3.742305837,17.38357951,16.99275271,NA,NA,-1.08303833,0,0,972.3467563
2010-07-05 23:59:00,1.355759382,2.27810061545124,16.20999908,15.84000015,NA,NA,0.596499979,1.372966705,1.895185701,2.440694685,3.020646406,4.158900145,17.25144796,16.92039308,NA,NA,-1.56439209,0,0,972.1563498
2010-07-06 00:09:00,1.039755821,1.24260035829341,16.17000008,15.81999969,NA,NA,0.434330016,1.06593345,1.427091212,1.853198283,2.298330881,3.187940183,17.28093695,16.93467201,NA,NA,-1.6847229,0,0,972.1473433
2010-07-06 00:19:00,0.479102254,0.517750128578915,16.20000076,15.81000042,NA,NA,0.667330027,0.971133613,1.29883263,1.700993769,2.038533546,3.115446293,17.35084428,16.94178612,NA,NA,-1.323699951,0,0,972.1452637
2010-07-06 00:29:00,0.203874379,0.207100054538067,16.17000008,15.80000019,NA,NA,0.522000015,0.790817184,1.034114789,1.237163541,1.489744292,2.874346438,17.33603027,16.94888333,NA,NA,-0.722015381,0,0,972.1383288
2010-07-06 00:39:00,0.285421789,0.310650089573352,16.13999939,15.77999973,NA,NA,0.36767,0.993767507,1.354597222,1.622595233,1.557973971,3.266666667,17.32120161,16.94511477,NA,NA,-0.48135376,0,0,972.1390225
2010-07-06 00:49:00,0.33639136,0.310650089573352,16.14999962,15.80000019,NA,NA,0.329329997,0.692901113,0.92914617,1.241755899,1.171886135,1.937501166,17.35060081,16.98475398,NA,NA,-1.564361572,0,0,972.1438771
2010-07-06 00:59:00,0.530071795,0.517750128578915,16.12000084,15.76000023,NA,NA,0.3565,0.759162572,0.894375312,1.092503608,1.059700907,2.531886155,17.31740973,16.9413247,NA,NA,-2.527069092,0,0,971.9652457
2010-07-06 01:09:00,0.509683967,0.724850167584478,16.10000038,15.72000027,NA,NA,0.404170007,0.916025089,1.197800299,1.43725997,1.297520492,3.197780994,17.29531327,16.89799277,NA,NA,-1.805053711,0,0,971.7810692
2010-07-06 01:19:00,0.521870792,0.207100054538067,16.02000046,15.64999962,NA,NA,0.488670021,0.967853343,1.223386417,1.660646386,1.567486734,3.647178003,17.20717432,16.84015951,NA,NA,-1.564361572,0,0,971.596893
2010-07-06 01:29:00,0.142711863,0.103550026751283,15.92000008,15.52000046,NA,NA,0.70717001,0.87698987,1.193207891,1.226010593,1.567486734,3.624216112,17.09755435,16.70040358,NA,NA,-2.647399902,0,0,971.5920397
2010-07-06 01:39:00,0.081549361,0.103550026751283,15.81000042,15.47000027,NA,NA,0.377499998,0.811712489,1.179430767,1.295880357,1.3240907,2.685074811,16.97767973,16.64692264,NA,NA,-1.925384521,0,0,971.7713612
2010-07-06 01:49:00,0.040774681,0,15.84000015,15.55000019,NA,NA,0.569500029,0.741514715,0.95112397,1.039363242,1.439884246,3.124302863,17.01029953,16.73256438,NA,NA,-2.406738281,0,0,971.7658096
2010-07-06 01:59:00,0.040774681,0,15.86999989,15.55000019,NA,NA,0.68599999,0.797541723,1.189271577,1.282759276,1.731172194,3.676700434,17.06099007,16.73256438,NA,NA,-3.008422852,0,0,971.7588658
2010-07-06 02:09:00,0.020387826,0,15.80000019,15.5,NA,NA,0.605170012,0.866164968,1.498601061,1.813506995,1.899122065,3.260106126,16.96681866,16.67899315,NA,NA,-3.008422852,0,0,971.7574765
2010-07-06 02:19:00,0.020386854,0,15.76000023,15.48999977,NA,NA,0.701170027,0.894047264,1.709850438,2.388866457,2.230429349,3.424119633,16.92343523,16.65071438,NA,NA,-3.24911499,0,0,971.5760769
2010-07-06 02:29:00,0.040774681,0,15.72000027,15.46000004,NA,NA,0.799670041,0.96490112,2.063135572,3.005557244,3.06197773,3.732465027,16.88014906,16.61869571,NA,NA,-3.610107422,0,0,971.3939829
2010-07-06 02:39:00,0,0,15.68999958,15.43999958,NA,NA,0.832329988,0.92258563,1.981784813,3.04656062,3.365074771,3.893198263,16.86555761,16.59737992,NA,NA,-4.572814941,0,0,971.3912045
2010-07-06 02:49:00,0.020387826,0,15.64999962,15.42000008,NA,NA,0.771499991,0.989503146,2.103482855,3.040328027,3.110853835,3.794790159,16.82239563,16.57608811,NA,NA,-5.776184082,0,0,971.3863405
2010-07-06 02:59:00,0,0,15.60999966,15.39000034,NA,NA,0.80667001,0.942595273,2.156623271,3.201061264,3.306029908,3.843994211,16.7793305,16.52672518,NA,NA,-6.738861084,0,0,971.3800834
2010-07-06 03:09:00,0,0,15.55000019,15.35000038,NA,NA,0.712830007,0.982614558,2.250766964,3.384756392,3.427399904,3.971924747,16.714914,16.48432992,NA,NA,-7.460876465,0,0,971.3724306
2010-07-06 03:19:00,0,0,15.48999977,15.30000019,NA,NA,0.688499987,0.943251317,1.816459218,2.533854237,2.726406135,3.5815726,16.65071438,16.41410053,NA,NA,-7.701568604,0,0,971.3640754
2010-07-06 03:29:00,0,0,15.40999985,15.25,NA,NA,0.633170009,0.838282672,1.609802199,2.527621844,2.56764118,3.34867342,16.56545119,16.32681755,NA,NA,-8.303253174,0,0,971.3585015
2010-07-06 03:39:00,0,0,15.35000038,15.21000004,NA,NA,0.647830009,0.979990332,2.227477126,3.358514231,3.309310178,3.716063676,16.48432992,16.25035023,NA,NA,-9.386260986,0,0,971.3508323
2010-07-06 03:49:00,0,0,15.28999996,15.19999981,NA,NA,0.531670034,0.926193922,1.766599172,2.719845594,2.914693721,3.591413411,16.42091581,16.20538871,NA,NA,-8.062561035,0,0,971.1631631
2010-07-06 03:59:00,0,0,15.27999973,15.21000004,NA,NA,0.812000036,1.030178475,2.309811827,3.289628558,3.361794501,4.352436083,16.42771472,16.19854252,NA,NA,-6.738861084,0,0,971.1589756
2010-07-06 04:09:00,0,0,15.28999996,15.27999973,NA,NA,0.940829992,1.105296692,2.138581786,3.217462615,2.946840328,4.477086348,16.43827407,16.20220227,NA,NA,-5.655853271,0,1.925391078,970.9747942
2010-07-06 04:19:00,0,0,15.28999996,15.30000019,NA,NA,1.037999988,1.074134125,2.108731307,2.766753417,2.421341012,5.090496864,16.42091581,16.11882042,NA,NA,-4.572784424,0,4.452466965,970.9782841
2010-07-06 04:29:00,0,0,15.27999973,15.28999996,NA,NA,0.872830033,0.917665224,1.534355986,1.908306782,2.138581786,4.401640135,16.3930205,16.03903405,NA,NA,1.08303833,0,10.70998764,971.1596737
2010-07-06 04:39:00,0,0,15.27999973,15.27000046,NA,NA,0.993830025,0.984254693,1.775455841,2.077568741,1.900434153,4.598456343,16.35832627,16.01843406,NA,NA,10.46932983,0,21.05896568,971.1617674
2010-07-06 04:49:00,0,0,15.31000042,15.26000023,NA,NA,1.024500012,1.023617935,1.524515175,1.853854277,2.213699952,4.97896768,16.37250772,16.0254676,NA,NA,24.909729,1.892285347,37.90613556,971.1673488
